大越史記本紀續編卷之十六	Đại Việt Sử Ký Bản Kỷ Tục Biên quyển chi thập lục.
莫見兵勢不敵乃令按兵不動	Mạc kiến binh thế bất địch, nãi lệnh án binh bất động.
申時節制鄭松親自督戦指揮三軍左攻于左右攻于右咸有紀律	Thân thì, Tiết chế Trịnh Tùng thân tự đốc chiến, chỉ huy tam quân, tả công vu tả, hữu công vu hữu, hàm hữu kỷ luật.
将士踴躍劎㦸連天奮力齊聲咸以破敵為誓	Tướng sĩ dũng dược, kiếm kích liên thiên, phấn lực tề thanh, hàm dĩ phá địch vi thệ.
於是大𭛁砲三聲官軍無不一當百勢如破竹遂追奔逐比	Ư thị, đại phát pháo tam thanh, quan quân vô bất nhất đương bách, thế như phá trúc, toại truy bôn trục tỉ.
莫軍驚惶左不顧右後不顧前兵眾雖多旌旗失次行	Mạc quân kinh hoàng, tả bất cố hữu, hậu bất cố tiền, binh chúng tuy đa tinh kì thất thứ, hàng..
伍已乱官兵因大擊破之	ngũ dĩ loạn, quan binh nhân đại kích phá chi.
諸軍乘勝長驅逐至江臯斬馘萬餘級血流布野屍積成山奪得噐械馬疋不可勝計	Chư quân thừa thắng trường khu, trục chí Giang Cao, trảm quắc vạn dư cấp, huyết lưu bố dã, thi tích thành sơn, đoạt đắc khí giới mã thất bất khả thăng kê.
莫茂洽驚恐破膽下船渡江而走	Mạc Mậu Hợp kinh khủng phá đảm, hạ thuyền độ giang nhi tẩu.
殘卒相爭上船船中人恐覆以劎断手落水死者過半餘各自迯生	Tàn tốt tương tranh thượng thuyền, thuyền trung nhân khủng phúc, dĩ kiếm đoạn thủ lạc thuỷ, tử giả quá bán dư, các tự đào sinh.
惟南道将阮倦遠避得全	Duy Nam đạo tướng Nguyễn Quyện viễn tị đắc toàn.
莫茂洽遁回京邑	Mạc Mậu Hợp độn hồi Kinh ấp.
會日暮節制鄭松駐兵于險山	Hội nhật mộ, Tiết chế Trịnh Tùng trú binh vu Hiểm Sơn.
三十日節制鄭松督諸營進兵至黄舍市駐營一箇月下令諸營兵渡虬江破毀賊壘削為平地	Tam thập nhật, Tiết chế Trịnh Tùng đốc chư dinh tiến binh chí Hoàng Xá thị, trú dinh nhất cá nguyệt, hạ lệnh chư dinh binh độ Cù giang phá huỷ tặc luỹ, tước vi bình địa.
日晚節制鄭松議曰乘雷霆不及掩耳	Nhật vãn, Tiết chế Trịnh Tùng nghị viết: "Thừa lôi đình bất cập yểm nhĩ..
之威取之如拾芥	chi uy thủ chi như thập giới.
乃進兵命阮有僚領鋭卒五千並䧺象鉄騎	Nãi tiến binh, mệnh Nguyễn Hữu Liêu lĩnh duệ tốt ngũ thiên tịnh hùng tượng, thiết kị.
寅時直進駐昇龍城西北角臯橋大放火號連𭛁七響燒焚廬舍火焰連天	Dần thì, trực tiến trú Thăng Long thành Tây Bắc giác Cao kiều, đại phóng hoả hiệu, liên phát thất hưởng, thiêu phần lư xá, hoả diễm liên thiên.
城中驚乱	Thành trung kinh loạn.
莫茂洽惶怖失措棄城迯走	Mạc Mậu Hợp hoàng bố thất thố, khí thành đào tẩu.
是夜城中畿内男女老幼爭下船渡江沉船溺死者千餘人	Thị dạ, thành trung kì nội nam nữ lão ấu tranh hạ thuyền độ giang, trầm thuyền nịch tử giả, thiên dư nhân.
平明有僚復收兵回行營	Bình minh, Hữu Liêu phục thu binh hồi hành dinh.
會正旦節饗勞将士期以收復京城	Hội Chính đán tiết, hưởng lạo tướng sĩ, kì dĩ thu phục kinh thành.
三軍踴躍大喜咸願報國	Tam quân dũng dược đại hỉ, hàm nguyện báo quốc.
此時莫黨雖未悉平然軍聲日益大振矣	Thử thời, Mạc đảng tuy vị tất bình, nhiên quân thanh nhật ích đại chấn hĩ.
壬辰十五年莫洪寕二年春明萬曆二十年	Nhâm Thìn, thập ngũ niên [Mạc Hồng Ninh nhị niên. Xuân, Minh Vạn Lịch nhị thập niên].
正月三日節制鄭松	chính nguyệt, tam nhật, Tiết chế Trịnh Tùng..
差官立壇具禮齋戒致祭禱于皇天后土本朝太祖髙皇帝列聖諸位皇帝及國内山川諸灵神古今諸名将座前告曰臣鄭松叨承國家重任濫董征伐大權奉辞討逆伐叛吊民念黎朝社稷生灵遭莫逆奸臣叛命弑君簒國罪惡愈深虐民欺神禍盈怨積	sai quan lập đàn cụ lễ, trai giới trí tế đảo vu hoàng thiên hậu thổ, bản triều Thái Tổ Cao Hoàng Đế, liệt thánh chư vị hoàng đế cập quốc nội sơn xuyên chư linh thần, cổ kim chư danh tướng toạ tiền cáo viết: "Thần Trịnh Tùng thao thừa quốc gia trọng nhậm, lạm đổng chinh phạt đại quyền, phụng từ thảo nghịch phạt bạn điếu dân, niệm Lê triều xã tắc sinh linh tao Mạc nghịch gian thần phản mệnh, thí quân soán quốc, tội ác dũ thâm, ngược dân khi thần, hoạ doanh oán tích.
致生灵之塗炭者幾七十年稔禍乱之原由者非一二日	Trí sinh linh chi đồ thán giả, cơ thất thập niên, nhẫm hoạ loạn chi nguyên do giả, phi nhất nhị nhật.
兹臣𭁈将佐等𭁈賊誓不俱生𡸈肯一天之共戴	Tư thần dữ tướng tá đẳng dữ tặc thệ bất câu sinh, khởi khẳng nhất thiên chi cộng đái.
願先朝列聖皇帝監照臣心滅逆賊以安民復黎朝之境土	Nguyện tiên triều liệt thánh hoàng đế giám chiếu thần tâm, diệt nghịch tặc dĩ an dân, phục Lê triều chi cảnh thổ".
祝畢是日披雲息霧日色光明	Chúc tất, thị nhật phi vân tức vụ, nhật sắc quang minh.
節制鄭松會諸将大議進兵仍告諭曰破竹之勢不可失也	Tiết chế Trịnh Tùng hội chư tướng đại nghị tiến binh, nhưng cáo dụ viết: "Phá trúc chi thế, bất khả thất dã.
况我奉辞討不軌本以安民為意	Huống ngã phụng từ thảo bất quỹ, bản dĩ an dân vi ý.
諸将宜戒戢将士嚴申軍約整飭部伍號令明信	Chư tướng nghi giới tập tướng sĩ, nghiêm thân quân ước, chỉnh sức bộ ngũ, hiệu lệnh minh tín.
凡兵所至秋毫無犯不得擄掠良民非賊之財物者不得濫取	Phàm binh sở chí, thu hào vô phạm, bất đắc lỗ lược lương dân, phi tặc chi tài vật giả, bất đắc lạm thủ.
師行有紀律則賊人易破	Sư hành hữu kỷ luật tắc tặc nhân dị phá".
乃下令諸營軍拨寨大進至寕江西岸	Nãi hạ lệnh chư dinh quân bạt trại đại tiến chí Ninh Giang Tây ngạn.
凡兵所至秋毫無犯市不易肆人皆按堵如故爭持牛羊酒食香花滿道老少男女迎接王師降復軍門曰昔遭曀霧今	Phàm binh sở chí, thu hào vô phạm, thị bất dịch tứ, nhân giai án đổ như cố, tranh trì ngưu dương tửu thực hương hoa mãn đạo, lão thiểu nam nữ nghênh tiếp vương sư hàng phục quân môn viết" "Tích tao ê vụ, kim..
睹青天歡騰天地	đổ thanh thiên, hoan đằng thiên địa".
及至駐營于寕江列屯陣法堅如鉄城	Cập chí trú dinh vu Ninh Giang, liệt đồn trận pháp, kiên như thiết thành.
乃下令曰諸營奇将士宜遵三條戒戢諸軍	Nãi hạ lệnh viết: "Chư dinh cơ tướng sĩ, nghi tuân tam điều giới tập chư quân.
一不得擅入民家托取柴菜二不得擄掠財物斬伐生花三不得脅奸婦女及私仇殺人	Nhất: Bất đắc thiện nhập dân gia thác thủ sài thái; Nhị: Bất đắc lỗ lược tài vật trảm phạt sinh hoa; Tam: Bất đắc hiếp gian phụ nữ cập tư cừu sát nhân.
如違者斬以示眾	Như vi giả, trảm dĩ thị chúng".
三軍聞令皆整肅隊伍不敢侵犯	Tam quân văn lệnh, giai chỉnh túc đội ngũ, bất cảm xâm phạm.
百姓悅從咸称三代以下復見仁義之兵	Bách tính duyệt tòng, hàm xưng: Tam đại dĩ hạ, phục kiến nhân nghĩa chi binh.
㱕者如市	Quy giả như thị.
凡有智𧥾武勇至軍門皆樂為用	Phàm hữu trí thức vũ dũng chí quân môn giai lạc vi dụng.
五日節制鄭松督兵渡江進至于千春寺	Ngũ nhật, Tiết chế Trịnh Tùng đốc binh độ giang, tiến chí vu Thiên Xuân tự.
将至仁睦橋莫茂洽大驚遂棄昇龍城渡珥河至菩	Tương chí Nhân Mục kiều, Mạc Mậu Hợp đại kinh, toại khí Thăng Long thành độ Nhĩ Hà chí Bồ..
提居于土塊舍留其大将分守城内各門	Đề, cư vu Thổ Khối xá, lưu kì đại tướng phân thủ thành nội các môn.
六月節制鄭松督兵過蘇歷江至仁睦橋駐兵射堆處	Lục nguyệt, Tiết chế Trịnh Tùng đốc binh quá Tô Lịch giang chí Nhân Mục kiều, trú binh Xạ Đôi xứ.
乃分兵布陣各道並進限即日攻破昇龍城以取頭功	Nãi phân binh bố trận, các đạo tịnh tiến, hạn tức nhật công phá Thăng Long thành dĩ thủ đầu công.
乃命左區營将阮有僚鄭檸等領兵象一萬攻破椰橋道直進西門右區營将黄廷爱鄭桐等領兵象一萬五百人攻破纏橋道直進南郊門前區營将鄭杜領中軍各奇瑞荘侯等合兵象一萬二千人攻破夢橋直進木橋門	Nãi mệnh Tả khu dinh tướng Nguyễn Hữu Liêu, Trịnh Ninh đẳng lĩnh binh tượng nhất vạn công phá Gia kiều đạo, trực tiến Tây môn; Hữu khu dinh tướng Hoàng Đình Ái, Trịnh Đồng đẳng lĩnh binh tượng nhất vạn ngũ bách nhân công phá Triền kiều đạo, trực tiến Nam Giao môn; Tiền khu dinh tướng Trịnh Đỗ lĩnh trung quân các cơ, Thuỵ Trang hầu đẳng hợp binh tượng nhất vạn nhị thiên nhân công phá Mộng kiều, trực tiến Mộc kiều môn.
分遣以定各領命准僃攻𭛁	Phân khiển dĩ định, các lĩnh mệnh chuẩn bị công phát.
節制鄭松督大營兵	Tiết chế Trịnh Tùng đốc đại dinh binh..
象二萬五千人爲後隊進至紅梅駐兵	tượng nhị vạn ngũ thiên nhân vi hậu đội, tiến chí Hồng Mai trú binh.
乃下令曰排布已定陣法以成凡旗幟不得妄張鉦皷不得妄動	Nãi hạ lệnh viết: "Bài bố dĩ định, trận pháp dĩ thành, phàm kì xí bất đắc vọng trương, chinh cổ bất đắc vọng động".
三軍聞令皆捲旗息皷堅坐以待	Tam quân văn lệnh giai quyển kì tức cổ, kiên toạ dĩ đãi.
時莫茂洽雖已渡江猶恃有長江先已准僃	Thời, Mạc Mậu Hợp tuy dĩ độ giang, do thị hữu trường giang, tiên dĩ chuẩn bị.
差西道将莫玉󱗲領本道兵固守保慶門以西至日昭裴文奎陳百年等領四衛兵㨿椰橋門過夢橋門直至纏橋門分為營次日夜閉門固守大羅城内各相拒守	Sai Tây đạo tướng Mạc Ngọc Liễn lĩnh bản đạo binh cố thủ Bảo Khánh môn dĩ Tây chí Nhật Chiêu; Bùi Văn Khuê, Trần Bách Niên đẳng lĩnh tứ vệ binh cứ Gia kiều môn quá Mộng kiều môn, trực chí Triền kiều môn, phân vi dinh thứ, nhật dạ bế môn cố thủ Đại La thành nội các tương cự thủ.
南道将阮倦領兵㨿莫舍以東救應各道軍兵	Nam đạo tướng Nguyễn Quyện lĩnh binh cứ Mạc Xá dĩ Đông, cứu ứng các đạo quân binh.
東北二道軍皆属焉	Đông Bắc nhị đạo quân giai thuộc yên.
莫茂洽	Mạc Mậu Hợp..
自督水軍陳船百餘隻㨿珥河以為聲援	tự đốc thuỷ quân, trần thuyền bách dư chích cứ Nhị Hà dĩ vi thanh viện.
阮倦領兵至營設伏于纏橋門外以待陳大銃百子火噐以僃之	Nguyễn Quyện lĩnh binh chí dinh, thiết phục vu Triền kiều môn ngoại dĩ đãi, trần đại súng Bách Tử hoả khí dĩ bị chi.
時節制鄭松𭛁砲三聲諸将張旗鳴金擊皷及聞角聲七連部伍齊肃戈甲鮮明進攻	Thời, Tiết chế Trịnh Tùng phát pháo tam thanh, chư tướng trương kì minh kim kích cổ, cập văn giác thanh thất liên, bộ ngũ tề túc, qua giáp tiên minh tiến công.
自巳至未未分勝負	Tự Tị chí Mùi vị phân thắng phụ.
節制鄭松見两軍大戦迭相誇勇爭䧺射倒百子更兼日色慘淡雲霧散凝風冷天寒軍兵混戦銃砲振天鉦皷動地旌旗蔽野劎㦸如雲	Tiết chế Trịnh Tùng kiến lưỡng quân đại chiến, điệt tương khoa dũng tranh hùng, xạ đảo bách tử, cánh kiêm nhật sắc thảm đạm, vân vụ tán ngưng, phong lãnh thiên hàn, quân binh hỗn chiến, súng pháo chấn thiên, chinh cổ động địa, tinh kì tế dã, kiếm kích như vân.
節制鄭松督兵催戦以旗指揮許進不許退依圖而進	Tiết chế Trịnh Tùng đốc binh thôi chiến, dĩ kì chỉ huy, hứa tiến bất hứa thoái, y đồ nhi tiến.
官軍力倍氣增左衝	Quan quân lực bội khí tăng, tả xung..
右突爭冐矢石穿壘登城寬先突破壘門	hữu đột, tranh mạo thỉ thạch, xuyên luỹ đăng thành, khoan tiên đột phá luỹ môn.
文奎百年等自度力不䏻支軍自竄乱奔潰走散	Văn Khuê, Bách Niên đẳng tự độ lực bất năng chi, quân tự thoán loạn bôn hội tẩu tán.
莫玉󱗲亦膽破驚遁	Mạc Ngọc Liễn diệc đảm phá kinh độn.
官軍乘勝逐比至江火燒宫殿及京屋煙焰連天	Quan quân thừa thắng trục bí chí giang, hoả thiêu cung điện cập kinh ốc, yên diễm liên thiên.
節制鄭松大驅象馬兵卒踏破纏橋兵威如從天而下	Tiết chế Trịnh Tùng đại khu tượng mã binh tốt đạp phá Triền kiều, binh uy như tùng thiên nhi hạ.
莫兵大潰阮倦伏兵不及起尽死于纏橋之外	Mạc binh đại hội, Nguyễn Quyện phục binh bất cập khởi tận tử vu Triền kiều chi ngoại.
倦計窮欲捨命迯生進退無路内外皆是官兵壘門又塞	Quyện kế cùng dục xá mệnh đào sinh, tiến thoái vô lộ, nội ngoại giai thị quan binh, luỹ môn hựu tắc.
倦子保忠義澤及手下精兵各自力戦一時俱死于陣中	Quyện tử Bảo Trung, Nghĩa Trạch cập thủ hạ tinh binh các tự lực chiến, nhất thời câu tử vu trận trung.
倦智竭力乏走回本營為官兵俘󰱐來献軍門	Quyện trí kiệt lực phạp, tẩu hồi bản dinh, vi quan binh phu hoạch lai hiến quân môn.
節制鄭松觧其縛待以賓禮宣諭慰勞語及前王豢養恩義不忍加害	Tiết chế Trịnh Tùng giải kì phược, đãi dĩ tân lễ, tuyên dụ uý lạo, ngữ cập tiền vương hoạn dưỡng ân nghĩa, bất nhẫn gia hại.
倦赧靣慚伏自歎曰敗軍之将不可語勇	Quyện noãn diện tàm, phục tự thán viết: "Bại quân chi tướng bất khả ngữ dũng.
天已亡莫英䧺難施其力	Thiên dĩ vong Mạc, anh hùng nan thi kì lực".
節制鄭松嘉其言	Tiết chế Trịnh Tùng gia kì ngôn.
是日莫兵横屍相枕填委满壑血流漂杵	Thị nhật, Mạc binh hoành thi tương chấm, điền uỷ mãn hác, huyết lưu phiêu chử.
斬賊馘千餘級莫将死者數十員	Trảm tặc quắc thiên dư cấp, Mạc tướng tử giả sổ thập viên.
噐械山積京城殿屋蕭然一空	Khí giới sơn tích, kinh thành điện ốc tiêu nhiên nhất không.
莫茂洽股慄心驚收殘卒㨿長江自守	Mạc Mậu Hợp cổ lật tâm kinh, thu tàn tốt cứ trường giang tự thủ.
節制鄭松兵至江會日暮且曰兵法曰窮㓂勿追	Tiết chế Trịnh tùng binh chí giang hội nhật mộ, thả viết: "Binh pháp viết: Cùng khấu vật truy".
遂收兵屯駐安營依如圖次	Toại thu binh đồn trú an doanh y như đồ thứ.
十五日令諸軍士平削大羅城土壘直數千	Thập ngũ nhật, lệnh chư quân sĩ bình tước Đại La thành thổ luỹ trực sổ thiên..
丈剪除榛棘鋤剔壕塹悉破為平坦之地不日完畢	trượng, tiễn trừ trăn cức, sừ dịch hào tiệm, tất phá vi bình thản chi địa, bất nhật hoàn tất.
此盖阮倦之謀乃緩兵之計也	Thử cái Nguyễn Quyện chi mưu nãi hoãn binh chi kế dã.
時官軍大振西南之民皆隨風靡	Thời, quan quân đại chấn, Tây Nam chi dân giai tuỳ phong mĩ.
凣畧定所至俱降服	Phàm lược định sở chí câu hàng phục.
珥河以西悉為所有	Nhĩ Hà dĩ Tây, tất vi sở hữu.
珥河以東民亦望風向服	Nhĩ Hà dĩ Đông, dân diệc vọng phong hướng phục.
莫茂洽自此驚慄食不下咽卧不安枕不敢顧盻於珥河之西矣	Mạc Mậu Hợp tự thử kinh lật, thực bất hạ yết, ngoạ bất an chẩm, bất cảm cố hễ ư Nhĩ Hà chi Tây hĩ.
三月節制鄭松至彰德駐營由醴江令造浮橋以濟師	Tam nguyệt, Tiết chế Trịnh Tùng chí Chương Đức, trú dinh Do Lễ giang, lệnh tạo phù kiều dĩ tế sư.
又分兵攻畧清池上福富川等縣	Hựu phân binh công lược Thanh Trì, Thượng Phúc, Phú Xuyên đẳng huyện.
節制鄭松督兵畧攻慈廉丹鳳等縣後至福禄先豊攻	Tiết chế Trịnh Tùng đốc binh lược công Từ Liêm, Đan Phượng đẳng huyện, hậu chí Phúc Lộc, Tiên Phong công..
畧麻義安山石室而回	lược Ma Nghĩa, Yên Sơn, Thạch Thất nhi hồi.
是月節制鄭松議回兵應天天䦕道詣闕奏捷全功	Thị nguyệt, Tiết chế Trịnh Tùng nghị hồi binh Ứng Thiên, Thiên Quan đạo, nghệ khuyết tấu tiệp toàn công.
帝大喜議陞賞勳爵	Đế đại hỉ, nghị thăng thưởng huân tước.
會試天下󰁮人賜鄭景瑞吳𦤶和進士出身吳致知同進士出身	Hội thí thiên hạ cử nhân, Tứ Trịnh Cảnh Thuỵ, Ngô Trí Hoà Tiến sĩ xuất thân; Ngô Trí Tri đồng tiến sĩ xuất thân.
莫開會試科	Mạc khai Hội thí khoa.
賜范有䏻等四人進士出身阮有德等十三人同進士出身	Tứ Phạm Hữu Năng đẳng tứ nhân tiến sĩ xuất thân; Nguyễn Hữu Đức đẳng thập tam nhân đồng tiến sĩ xuất thân.
六月十二日子時流星大作	Lục nguyệt, thập nhị nhật, Tí thì, Lưu tinh đại tác.
七月六日洪水驟至河水横流丘陵漲溢清華道禾榖不登	Thất nguyệt, lục nhật, hồng thuỷ sậu chí, hà thuỷ hoành lưu, khâu lăng trướng dật, Thanh Hoa đạo hoà cốc bất đăng.
十五日水又潦	Thập ngũ nhật, thuỷ hựu lạo.
西南之民亦荒飢	Tây Nam chi dân diệc hoang cơ.
八月戊子朔壬戌時流星大作赤色長五丈芒如絹電暎入人屋下于地聲如巨雷	Bát nguyệt, Mậu Tí sóc, Nhâm Tuất thì, Lưu tinh đại tác, xích sắc, trường ngũ trượng, mang như quyên điện, ánh nhập nhân ốc, hạ vu địa thanh như cự lôi.
莫茂洽日肆逰蕩縱酒荒色	Mạc Mậu Hợp nhật tứ du đãng, túng tửu hoang sắc.
時山郡公裴文奎妻阮氏年有姊爲茂洽后嘗出入宫中	Thời, Sơn quận công Bùi Văn Khuê thê Nguyễn Thị Niên hữu tỉ vi Mậu Hợp hậu, thường xuất nhập cung trung.
茂洽見有羙色心中悅之乃隂圖文奎以求其妻	Mậu Hợp kiến hữu mĩ sắc, tâm trung duyệt chi, nãi âm đồ Văn Khuê dĩ cầu kì thê.
文奎𮗓之乃率本部兵自回長安嘉遠擁兵不出	Văn Khuê giác chi, nãi suất bản bộ binh tự hồi Trường Yên, Gia Viễn ủng binh bất xuất.
茂洽召之再三不䏻得乃差将領兵逼問之阮氏年阮第三女也	Mậu Hiệp triệu chi tái tam bất năng đắc, nãi sai tướng lĩnh binh bức vấn chi [Nguyễn Thị Niên, Nguyễn đệ tam nữ dã].
倦十月裴文奎一靣徵兵拒莫兵一靣使子奔至清華行營入拜禀乞㱕命投降跪泣曰臣父裴	Quyện Thập nguyệt, Bùi Văn Khuê nhất diện trưng binh cự Mạc binh, nhất diện sử tử bôn chí Thanh Hoa hành dinh, nhập bái bẩm khất quy mệnh đầu hàng, quỵ khấp viết: Thần phụ Bùi..
文奎被莫氏隂差兵逼害因使臣代臣父冐罪㱕命朝廷委身降服願求生路刻骨不忘終身感德	Văn Khuê bị Mạc thị âm sai binh bức hại, nhân sử thần đại thần phụ mạo tội quy mệnh triều đình, uỷ thân hàng phục nguyện cầu sinh lộ, khắc cốt bất vong chung thân cảm đức.
幸𫎇大德明察誠心乞加一旅來救微軀	Hạnh mông đại đức, minh sát thành tâm, khất gia nhất lữ lai cứu vi khu.
天威如指偏方臣父願為向導萬死不辭寸功願報	Thiên uy như chỉ thiên phương, thần phụ nguyện vi hướng đạo, vạn tử bất từ, thốn công nguyện báo.
節制鄭松聞言笑曰文奎㱕降是天使我成功之速	Tiết chế Trịnh Tùng văn ngôn tiếu viết: "Văn Khuê quy hàng thị thiên sử ngã thành công chi tốc.
本朝土地指日可復	Bản triều thổ địa chỉ nhật khả phục".
於是𭁈諸将議起兵上表奏聞	Ư thị, dữ chư tướng nghị khởi binh, thượng biểu tấu văn.
命黄廷爱統領諸營奇将士先進救文奎	Mệnh Hoàng Đình Ái thống lĩnh chư dinh cơ tướng sĩ, tiên tiến cứu Văn Khuê.
及兵至嘉遠沛頂文奎見有救兵至乃率本部子弟兵三千人迎接拜伏于軍前	Cập binh chí Gia Viễn, Bái, Đính, Văn Khuê kiến hữu cứu binh chí, nãi suất bản bộ tử đệ binh tam thiên nhân nghênh tiếp, bái phục vu quân tiền.
廷爱	Đình Ái..
使文奎又将本部兵守潭江渡	sử Văn Khuê hựu tương bản bộ binh thủ Đàm Giang độ.
莫知文奎已投降復有大兵來救乃退守天派江	Mạc tri Văn Khuê dĩ đầu hàng, phục hữu đại binh lai cứu, nãi thoái thủ Thiên Phái giang.
十八日節制鄭松督大兵出長安	Thập bát nhật, Tiết chế Trịnh Tùng đốc đại binh xuất Trường Yên.
文奎将兵來謁泣拜于麾下	Văn Khuê tương binh lai yết, khấp bái vu huy hạ.
節制鄭松褒賞慰勞之賜爵羙郡公使領本部兵馬船艘為前部𭁈莫兵将拒	Tiết chế Trịnh Tùng bao thưởng uý lạo chi, tứ tước Mĩ quận công, sử lĩnh bản bộ binh mã thuyền sưu vi tiền bộ, dữ Mạc binh tương cự.
莫使宗室将義國公節制南道兵期日進擊	Mạc sử tông thất tướng Nghĩa quốc công tiết chế Nam đạo binh, kì nhật tiến kích.
兵至潭舍江渡節制鄭松差左右銃奇伏兵沿河期射殺之	Binh chí Đàm Xá giang độ, Tiết chế Trịnh tùng sai tả hữu súng cơ phục binh duyên hà kì xạ sát chi.
又令諸軍造浮橋過潭江渡被風波折破二日未成因下令三軍爭渡黄舍江至安决黔皷山駐營	Hựu lệnh chư quân tạo phù kiều quá Đàm Giang độ, bị phong ba chiết phá, nhị nhật vị thành, nhân hạ lệnh tam quân tranh độ Hoàng Xá giang, chí Yên Quyết, Kiềm Cổ sơn trú dinh.
莫	Mạc..
南道将義國公屯兵天派江㨿守端偉渡令催大安懿安兵民築土壘江邉拒之放竹尖河岸两邉以防官兵渡江	Nam đạo tướng Nghĩa quốc công đồn binh Thiên Phái giang, cứ thủ Đoan Vĩ độ, lệnh thôi Đại Yên, Ý Yên binh dân trúc thổ luỹ giang biên cự chi, phóng trúc tiêm hà ngạn lưỡng biên dĩ phòng quan binh độ giang.
節制鄭松差裴文奎潜拽船出江口以擊其上流差左右銃奇來射沿河以攻其下流使象馬兵卒渡河奮攻于中流收江中賊船	Tiết chế Trịnh Tùng sai Bùi Văn Khuê tiềm duệ thuyền xuất giang khẩu dĩ kích kì thượng lưu, sai tả hữu súng cơ lai xạ duyên hà dĩ công kì hạ lưu, sử tượng mã binh tốt độ hà phấn công vu trung lưu thu giang trung tặc thuyền.
莫義國公措手不及棄船而迯士卒奔潰	Mạc Nghĩa quốc công thố thủ bất cập, khí thuyền nhi đào, sĩ tốt bôn hội.
官兵收得戦船七十隻噐械不可勝數	Quan binh thu đắc chiến thuyền thất thập chích, khí giới bất khả thăng sổ.
義國公收殘卒回京邑㨿自然洲	Nghĩa quốc công thu tàn tốt hồi Kinh ấp, cứ Tự Nhiên châu.
官兵造浮橋渡江駐營懿安縣後進兵平陸駐營塞橋	Quan binh tạo phù kiều độ giang, trú dinh Ý Yên huyện, hậu tiến binh Bình Lục, trú dinh Tắc kiều.
莫陳百年	Mạc Trần Bách Niên..
将兵投降賜爵定郡公	tương binh đầu hàng, tứ tước Định quận công.
時南道諸将來降者十餘人	Thời, Nam đạo chư tướng lai hàng giả thập dư nhân.
因下令軍中秋毫無犯民間村巷無故不得輙入違者以軍法論	Nhân hạ lệnh quân trung thu hào vô phạm, dân gian thôn hạng vô cố bất đắc triếp nhập, vi giả, dĩ quân pháp luận.
由是山南一處民皆按堵如故簞食壼漿以迎王師男女老少莫不仰慕其德焉	Do thị, Sơn Nam nhất xứ dân giai án đổ như cố, đan thực hồ tương dĩ nghênh vương sư, nam nữ lão thiếu mạc bất ngưỡng mộ kì đức yên.
十一月四日節制鄭松進兵于清威精神洲安營	Thập nhất nguyệt, tứ nhật, Tiết chế Trịnh Tùng tiến binh vu Thanh Oai, Tinh Thần châu an dinh.
曉諭西南各處人民皆我朝之民久罹莫政殘虐	Hiểu dụ: "Tây Nam các xứ nhân dân giai ngã triều chi dân, cửu li Mạc chính tàn ngược.
兹後	Tư hậu.
我𭁈汝等各宜自新革其前弊	ngã dữ nhữ đẳng các nghi tự tân, cách kì tiền tệ.
汝等安居按堵不得驚怖	Nhữ đẳng an cư án đổ, bất đắc kinh bố.
師行紀律以弔民爲念	Sư hành kỷ luật, dĩ điếu dân vi niệm".
民	Dân..
不勝歡喜壮者願徔軍老弱者皆𰙔謳舞躍滿路	bất thăng hoan hỉ, tráng giả nguyện tòng quân, lão nhược giả giai ca âu vũ dược mãn lộ.
十四日兵出喝江口水陸並進	Thập tứ nhật, binh xuất Hát giang khẩu, thuỷ lục tịnh tiến.
莫将莫玉󱗲陳船拒之安置木楂于喝江口築土壘岸上以為險固	Mạc tướng Mạc Ngọc Liễn trần thuyền cự chi, an trí mộc tra vu Hát giang khẩu, trúc thổ luỹ ngạn thượng dĩ vi hiểm cố.
官兵進擊破之	Quan binh tiến kích phá chi.
玉󱗲棄船陸走于三島山下将卒各自棄船登岸	Ngọc Liễn khí thuyền lục tẩu vu Tam Đảo sơn, hạ tướng tốt các tự khí thuyền đăng ngạn.
官兵渡河收󰱐船艘噐械不可勝數	Quan binh độ hà, thu hoạch thuyền sưu khí giới bất khả thăng sổ.
乘勝長驅至昇龍城南門駐兵于沙草津所󰱐船艘大小以千計	Thừa thắng trường khu chí Thăng Long thành Nam môn, trú binh vu Sa Thảo tân, sở hoạch thuyền sưu đại tiểu dĩ thiên kê.
是夜茂洽迯奔海陽金城縣	Thị dạ, Mậu Hợp đào bôn Hải Dương, Kim Thành huyện.
莫宗族各自偷生亡命	Mạc tông tộc các tự du sinh vong mệnh.
其諸将㱕降者󰱥踵于軍門	Kì chư tướng quy hàng giả, kế chủng vu quân môn.
節制鄭松令諸營駐兵于沙	Tiết chế Trịnh Tùng lệnh chư dinh trú binh vu Sa..
草津	Thảo tân.
禁戢軍士不得侵掠使民安業	Cấm tập quân sĩ bất đắc xâm lược, sử dân an nghiệp.
珥河之北順安三帶上洪諸府縣民皆願投降	Nhĩ Hà chi Bắc Thuận An, Tam Đới, Thượng Hồng chư phủ huyện dân giai nguyện đầu hàng.
節制鄭松下令撫安之	Tiết chế Trịnh Tùng hạ lệnh phủ an chi.
太原刼黨廉郡公缺名亦率本部黨五千人來降	Thái Nguyên kiếp đảng Liêm quận công [khuyết danh] diệc suất bản bộ đảng ngũ thiên nhân lai hàng.
二十五日節制鄭松進兵徃海陽處追勦莫黨	Nhị thập ngũ nhật, Tiết chế Trịnh Tùng tiến binh vãng Hải Dương xứ truy tiễu Mạc đảng.
