大越史記本紀實録卷之十一	Đại Việt sử ký bản kỷ thực lục quyển chi thập nhất.
註初帝命粱登定大朝諸󰀩至是成進之	Chú sơ đế mệnh Lương Đăng định đại triều chư nghi, chí thị thành tiến chi.
乃命傳寫󰀩註懸于丞天門外	Nãi mệnh truyền tả nghi chú huyền vu thừa thiên môn ngoại.
帝謁太廟百官著朝服行新禮自此始	Đế yết Thái miếu, bách quan trước triều phục hành tân lễ tự thử thuỷ.
行遣阮廌參知簿籍阮傳陶公僎阮文絢參議阮了等上疏曰制禮作樂必待人後行如周公而後無間言	Hành khiển Nguyễn Trãi, tham tri bộ tịch Nguyễn Truyền, Đào Công Soạn, Nguyễn Văn Huyến, Tham nghị Nguyễn Liễu đẳng thượng sớ viết: Chế lễ tác nhạc tất đãi nhân hậu hành, như Chu Công nhi hậu vô gián ngôn.
今使小竪梁簦專定禮樂國得不辱乎且彼所為欺君罔下無所憑㨿如皷鳴人早朝報時今君出𤤻定乃鳴	Kim sử tiểu thụ Lương Đăng chuyên định lễ nhạc, quốc đắc bất nhục hồ! Thả bỉ sở vi khi quân võng hạ, vô sở bằng cứ, như cổ minh nhân tảo triều báo thời, kim quân xuất ban định nãi minh.
古制君出時左撞黄鍾之鐘而右	Cổ chế quân xuất thời tả chàng hoàng chung chi chung nhi hữu..
五鐘應之君入時撞𬎼賓之鐘而五鐘亦應之	ngũ chung ứng chi, quân nhập thời chàng chưng tân chi chung nhi ngũ chung diệc ứng chi.
今林朝鐘一百八聲是和尙數珠之數	Kim lâm triều, chung nhất bách bát thanh, thị hoà thượng sổ châu chi số.
如用明國制君坐奉天門則有金󰱑奉天殿則有寶座	Như dụng Minh quốc chế, quân toạ Phụng Thiên môn tắc hữu kim đài, Phụng Thiên điện tắc hữu bảo toà.
今止有會英一殿復有金󰱑移轉不安重設亦不可是皆何等禮󰀩	Kim chỉ hữu Hội Anh nhất điện, phục hữu kim đài, di chuyển bất an, trọng thiết diệc bất khả, thị giai hà đẳng lễ nghi?.
夫造車則前簷後户	Phù tạo xa tắc tiền thiềm hậu hộ.
今關户在前古制如此乎	Kim quan hộ tại tiền, cổ chế như thử hồ?.
人君出警入蹕此禮之常	Nhân quân xuất cảnh nhập tất thử lễ chi thường.
今閤門唱奏事󰍶百官退君尙坐而蹕人始鳴蹕何也	Kim cáp môn sướng tấu sự tất, bách quan thoái, quân thượng toạ nhi tất nhân thuỷ minh tất hà dã?.
且登小竪繞步御座近君之側臣窃疑之	Thả Đăng tiểu thụ, nhiễu bộ ngự toạ cận quân chi trắc, thần thiết nghi chi".
登奏曰臣無𭓇術不知古制今之所為尽其	Đăng tấu viết: "Thần vô học thuật, bất tri cổ chế, kim chi sở vi tận kì..
所見而已若行𭁈不行顧在陛下臣安敢專	sở kiến nhi dĩ, nhược hành dữ bất hành cố tại bệ hạ, thần an cảm chuyên".
阮了奏曰自古未有宦官專壞天下如此	Nguyễn Liễu tấu viết Tự cổ vị hữu hoạn quan chuyên hoại thiên hạ như thử".
丁勝自内出罵曰宦官何為壞天下若󰱧天下則先斬汝頭	Đinh Thắng tự nội xuất mạ viết: Hoạn quan hà vi hoại thiên hạ, nhược hoại thiên hạ tắc tiên trảm nhữ đầu".
遂付了刑官按察獄成當斬特旨許刺靣流遠州	Toại phó Liễu hình quan án sát ngục thành đáng trảm đặc chỉ hứa thích diện lưu viễn châu.
丙午帝視朝出入有鳴鞭蹕出入鳴鞭自此始	Bính Ngọ, đế thị triều, xuất nhập hữu minh tiên, tất xuất nhập minh tiên tự thử thuỷ.
戊申繼天聖節	Mậu thân, kế thiên thánh tiết.
是日早帝謁太廟行賜拜禮	Thị nhật tảo đế yết Thái miếu hành tứ bái lễ.
還宫鹵簿司盛設鹵簿󰀩仗於丹墀	Hoàn cung, Lỗ bộ ti thịnh thiết lỗ bộ nghi trượng ư Đan trì.
帝御衮冕朝服御會英殿	Đế ngự cổn miện triều phục ngự Hội Anh điện.
大都督黎銀出百官著朝服行進慶下表禮	Đại đô đốc Lê Ngân xuất bách quan trước triều phục hành tiến khánh hạ biểu lễ.
帝御衮冕百官著朝服自	Đế ngự cổn miện bách quan trước triều phục tự..
此始	thử thuỷ.
大宴百官其𢮿花供饌皆用新禮	Đại yến bách quan, kì quải hoa cúng soạn giai dụng tân lễ.
暹羅國遣使斎罡剌等入貢	Tiêm La quốc khiển sứ Trai Cương Lạt đẳng nhập cống.
帝以勑書使之賫還并除今年抽援也引也分使减前年例半分二十分抽一分及厚加賞賜	Đế dĩ sắc thư sử chi tê hoàn tịnh trừ kim niên trừu [Viện dã dẫn dã] phân sứ giảm tiền niên, lệ bán phần nhị thập phần trừu nhất phần cập hậu gia thưởng tứ.
外賜國主分邑絹二十匹磁碗三十副國妃分邑絹五匹磁碗三副每副三十五口	Ngoại tứ quốc chủ phần ấp, quyên nhị thập sất, từ uyển tam thập phó, quốc phi phần ấp quyên ngũ sất, từ uyển tam phó, mỗi phó tam thập ngũ khẩu.
有告大都督黎銀家奉觀音佛為女惠妃求𫳭	Hữu cáo Đại đô đốc Lê Ngân gia phụng quan âm phật vị nữ huệ phi cầu sủng.
帝御東城門命太監杜犬領武士五十人搜銀家得所奉佛及金銀匹絹等物	Đế ngự Đông thành môn mệnh thái giám Đỗ Khuyển lĩnh võ sĩ ngũ thập nhân sưu Ngân gia, đắc sở phụng phật cập kim ngân sất quyên đẳng vật.
明日銀入朝免冠謝罪	Minh nhật, Ngân nhập triều miễn quan tạ tội.
帝命收銀家奴婢問之	Đế mệnh thu Ngân gia nô tì vấn chi.
十二月朔以入内司馬行軍總管黎魁為入内司馬參知政事知西道諸衛軍事	Thập nhị nguyệt sóc Dĩ nhập nội tư mã hành quân tổng quản Lê Khôi vi Nhập nội tư mã tham tri chính sự tri Tây đạo chư vệ quân sự.
黎銀免冠奏曰向者臣從起義籃京今臣亦多病卜師云臣居宅内先有佛廟因有汚穢作殃	Lê Ngân miễn quan tấu viết: "Hướng giả thần tòng khởi nghĩa Lam Kinh, kim thần diệc đa bệnh, bốc sư vân thần cư trạch nội, tiên hữu Phật miếu, nhân hữu ô uế tác ương.
故再修以鄕火之緣	Cố tái tu dĩ hương hoả chi duyên.
臣所棄妾阮氏及所賜臣黎察妾陳氏二人俱是臣仇怨人𭁈臣頑奴羅織以成其	Thần sở khí thiếp Nguyễn thị cập sở tứ thần Lê Sát thiếp Trần thị nhị nhân cụ thị thần cừu oán nhân dữ thần ngoan nô la chức dĩ thành kì.
事先帝知臣每為優容今臣筋力頗倦願放㱕田里以終残年	sự Tiên đế tri thần, mỗi vi ưu dung, kim thần cân lực pha quyện, nguyện phóng quy điền lí dĩ chung tàn niên.
若咱左右之人考掠臣家人病痛必生異辝則臣身恐不能保願陛下思之	Nhược thính tả hữu chi nhân khảo lược thần gia nhân bệnh thống tất sinh dị từ tắc thần thân khủng bất năng bảo, nguyện bệ hạ tư chi".
𭛁	Phát..
嘉興軍營粮𭁈嘉興鎮官貸食	Gia Hưng quân dinh lương dữ Gia Hưng trấn quan thải thực.
初太祖征復禮州令軍粮轉到嘉興軍營收貯至是嘉興鎮宣慰大使黎遙奏言廩𭁈粮俱󰱧弊乞轉送納東京	Sơ Thái Tổ chinh phục Lễ châu lệnh quân lương chuyển đáo Gia Hưng quân dinh thu trữ Chí thị Gia Hưng trấn tuyên uý đại sứ Lê Dao tấu ngôn lẫm dữ lương cụ hoại tệ, khất chuyển tống nạp Đông Kinh.
中丞裴擒虎曰粮貯於边實為良法運就東京恐為不便	Trung thừa Bùi Cầm Hổ viết: "Lương trữ ư biên thực vi lương pháp, vận tựu Đông Kinh khủng vi bất tiện".
帝從之故有是命	Đế tòng chi, cố hữu thị mệnh.
令明人著京人衣服斷髮	Lệnh Minh nhân trước Kinh nhân y phục đoạn phát.
督五道民人浚諸港	Đốc ngũ đạo dân nhân tuấn chư cảng.
降黎銀女惠妃日麗為修容	Giáng Lê Ngân nữ Huệ phi Nhật Lệ vi Tu Dung.
女巫阮氏流遠州	Nữ vu Nguyễn Thị lưu viễn châu.
符水師陳文坊徒象坊兵	Phù thuỷ sư Trần Văn Phường đồ tượng phường binh.
以政事院同參𬢱阮欽為演州安撫使復禮州鎮撫使黎彦為葵州知州	Dĩ Chính sự viện Đồng tham nghị Nguyễn Khâm vi Diễn Châu an phủ sứ, Phục Lễ châu trấn phủ sứ Lê Ngạn vi Quỳ châu Tri châu..
黎魁為乂安路鎮撫使	Lê Khôi vi Nghệ An lộ Trấn phủ sứ.
追尊恭慈光穆皇后為皇太后	Truy tôn Cung Từ Quang Mục hoàng hậu vi Hoàng thái hậu.
令五道都總管等官整理戰船哨船旗幟嚴僃	Lệnh ngũ đạo đô tổng quản đẳng quan chỉnh lí chiến thuyền tiêu thuyền kì xí nghiêm bị.
期明年正月習水陣	Kì minh niên chính nguyệt tập thuỷ trận.
戊午五年明正統二年	Mậu Ngọ ngũ niên [Minh Chính Thống nhị niên ].
春正月令四道民人鑿長安清化乂安諸港	Xuân chính nguyệt, Lệnh tứ đạo dân nhân tạc Trường An, Thanh Hoá, Nghệ An chư cảng.
夏五月命文臣督軍民鑿清化路諸港	Hạ ngũ nguyệt mệnh văn thần đốc quân dân tạc Thanh Hoá lộ chư cảng.
降郡王思齊為庶人	Giáng quận vương Tư Tề vi thứ nhân.
二十七日以災異下詔曰此歲以來旱蝗相仍災異荐	Nhị thập thất nhật, dĩ tai dị, hạ chiếu viết: "Thử tuế dĩ lai, hạn hoàng tương nhưng tai dị tiến.
至今四五月間累次雷震籃京太廟前園樹	Chí kim tứ, ngũ nguyệt gian, luỵ thứ lôi chấn Lam Kinh Thái miếu tiền viên thụ.
驗其致𠧨必有其由	Nghiệm kì trí cữu tất hữu kì do.
抑	Ức..
朕德不修而庶政荒怠󰊹将宰輔非才而爕理失宜󰊹	trẫm đức bất tu nhi thứ chính hoăng đãi dư! tương tể phụ phi tài nhi nhiếp lí thất nghi dư?.
抑任用非人而賢否混淆歟抑賄賂公行而獄訟冤濫餘抑土木屡興而民力疲困餘將賦歛繁重而民財匱乏󰊹引𠧨自責大赦天下	Ức nhiệm dụng phi nhân nhi hiền phủ hỗn hào dư? Ức hối lộ công hành nhi ngục tụng oan lạm dư? Ức thổ mộc lũ hưng nhi dân lực bì khốn dư? Tương phú liễm phồn trọng nhi dân tài quỹ phạp dư? Dẫn cữu tự trách đại xá thiên hạ.
凡尔〇臣文武庶官等宜各旨其〇失直言無所隐諱	Phàm nhĩ đại thần văn võ thứ quan đẳng nghi các chỉ kì quá thất, trực ngôn, vô sở ẩn huý.
如有可釆必顯加榮擢雖有愚㦉戇疏亦不之罪	Như hữu khả thái tất hiển gia vinh, trạc tuy hữu ngu ý tráng sớ diệc bất chi tội.
庶可以回天心弭灾變使國家永享無󰠃之福矣	Thứ khả dĩ hồi thiên tâm, nhĩ tai biến, sử quốc gia vĩnh hưởng vô cùng chi phúc hĩ.
六月補官男自六品至三品為親隋各局二	Lục nguyệt, bổ quan nam tự lục phẩm chí tam phẩm vi thân tuỳ các cục nhị..
品至一品為正監副監	phẩm chí nhất phẩm vi chánh giám phó giám.
冬十月十三日遣審刑院副使阮廷歷僉知内密院事程顯侍御史阮天錫如明歲貢	Đông thập nguyệt, thập tam nhật, khiển Thẩm hình viện phó sứ Nguyễn Đình Lịch, Thiêm tri Nội mật viện sự Trình Hiển, Thị ngự sử Nguyễn Thiên Tích như Minh tuế cống.
十二月明使給事中湯鼎行人高寅來言地方事	Thập nhị nguyệt, Minh sử cấp sự trung Thang Đỉnh, Hành nhân Cao Dần lai ngôn địa phương sự.
二十日遣中軍同知黎伯琦中丞裴擒虎如明奏太平地方事	Nhị thập nhật, khiển Trung quân đồng tri Lê Bá Kì, Trung thừa Bùi Cầm Hổ như Minh tấu Thái Bình địa phương sự.
己未六年明正統四年	Kỉ Mùi lục niên [Minh Chính Thống tứ niên ].
春正月帝親征復禮等州	Xuân chính nguyệt, đế thân chinh Phục Lễ đẳng châu.
時琴蛮擾害邊民帝命將問罪	Thời Cầm Man nhiễu hại biên dân, đế mệnh tướng vấn tội.
哀牢咱琴蛮剛娘等遣其杻花出兵象三萬餘來援侵掠復禮等州	Ai Lao thính Cầm Man Cương Nương đẳng khiển kì Nữu Hoa xuất binh tượng tam vạn dư lai viện, xâm lược Phục Lễ đẳng châu.
帝親董六師征之	Đế thân đổng lục sư chinh chi.
三月旨揮定錢陌文數及絹布長短尺寸并紙張等式係同錢六十文為一陌絹縷長三十尺闊一尺五寸以上細麻布並長三十四尺闊一尺三寸以上蕉布長二十四尺綿布長二十二尺紙用一百張	Tam nguyệt chỉ huy định tiền mạch văn sổ cập quyên bố trường đoản xích thốn tịnh chỉ trương đẳng thức hệ đồng tiền lục thập văn vi nhất mạch quyên lũ trường tam thập xích khoát nhất xích ngũ thốn dĩ thượng tế ma bố tịnh trường tam thập tứ xích khoát nhất xích tam thốn dĩ thượng tiêu bố trường nhị thập tứ xích miên bố trường nhị thập nhị xích chỉ dụng nhất bách trương.
夏四月有彗星見西方	Hạ tứ nguyệt, hữu tuệ tinh hiện Tây phương.
秋七月望月有食之	Thu thất nguyệt vọng nguyệt hữu thực chi.
八月󰱇補軍伍	Bát nguyệt, tuyển bổ quân ngũ.
大集軍其	Đại tập quân kì.
東十月黄子宜民生	Đông thập nguyệt, Hoàng tử nghi dân sinh.
十一月大赦改元	Thập nhất nguyệt, đại xá, cải nguyên.
其以明年正月改大寶初年	Kì dĩ minh niên chính nguyệt cải Đại Bảo sơ niên.
大赦天下	Đại xá thiên hạ.
年自七十以上賞爵一資並賜大酺	Niên tự thất thập dĩ thượng thưởng tước nhất tư, tịnh tứ đại bô.
庚申大寳元年明正統五年	Canh Thân Đại Bảo nguyên niên [Minh Chính Thống ngũ niên ].
春正月朔改元	Xuân, chính nguyệt, sóc, cải nguyên.
三日詔曰朕惟古之忠臣良将事君尽節徇國忘家	Tam nhật chiếu viết: "Trẫm duy! cổ chi trung thần lương tướng, sự quân tận tiết, tuẫn quốc vong gia.
今尔大臣内外文武百官等食君之祿當󰪽君之󰪽	Kim nhĩ đại thần nội ngoại văn võ bách quan đẳng, thực quân chi lộc, đáng ưu quân chi ưu.
凣軍民有所弊害及朕行有所過𠧨各宜明争顯諫匡其不逮思尽人臣職分之當為以媲美伊吕周召之列寧可居平勃王陵霍光諸葛敬	Phàm quân dân hữu sở tệ hại cập trẫm hành hữu sở quá cữu, các nghi minh tranh hiển gián, khuông kì bất đãi, tư tận nhân thần chức phận chi đáng vi dĩ bễ mĩ Y, Lã, Chu, Triệu chi liệt, ninh khả cư Bình, Bột, Vương Lăng, Hoắc Quang, Chư Cát, KÍnh..
德子󰀩李𣆭之下乎苟能如是則我之君臣尽保全勳業於始終共享福祿於悠久庶乎不負黄河如帶泰山如礪之言𡸈不偉哉	Đức, Tử Nghi, Lí Thạnh chi hạ hồ? Cẩu năng như thị tắc ngã chi quân thần tận bảo toàn huân nghiệp ư thuỷ chung, cộng hưởng phúc lộc ư du cửu, thứ hồ bất phụ "Hoàng Hà như đái Thái Sơn như lệ chi ngôn" khởi bất vĩ tai.
凡尔有官欽予是命	Phàm nhĩ hữu quan khâm dư thị mệnh.
帝親征宣光收物縣叛人何宗來	Đế thân chinh Tuyên Quang Thu Vật huyện phản nhân Hà Tông Lai.
十九日擒獲宗來子宗茂	Thập cửu nhật, cầm hoạch Tông Lai tử Tông Mậu.
二十日斬獲何宗來乃𤤻師	Nhị thập nhật, trảm hoạch Hà Tông Lai nãi ban sư.
献捷于太廟	Hiến tiệp vu Thái miếu.
二十一日立長子宜民為皇太子	Nhị thập nhất nhật lập trưởng tử Nghi Dân vi Hoàng thái tử.
三月帝親征家興鎮安順每州土官逆各儼	Tam nguyệt, đế thân chinh Gia Hưng trấn, An Thuận Mỗi châu thổ quan nghịch danh Nghiễm.
選壯充軍	Tuyển tráng sung quân.
攅造户籍	Toàn tạo hộ tịch.
夏五月十五日帝𤤻師自順每州以儼進牛象	Hạ ngũ nguyệt, thập ngũ nhật, đế ban sư, tự Thuận Mỗi châu dĩ Nghiễm tiến ngưu tượng..
乞降并雨暑方盛故也	khất hàng tịnh vũ thử phương thịnh cố dã.
六月󰀋封吳氏為捷妤居慶芳宫即光淑皇太后也	Lục nguyệt, sách phong Ngô thị vi Tiệp dư, cư Khánh Phương cung tức Quang Thục hoàng thái hậu dã.
清化路大水	Thanh Hoá lộ đại thuỷ.
辛酉二年明正統六年春正月運粮	Tân Dậu nhị niên [Minh Chính Thống lục niên ] Xuân chính nguyệt, vận lương.
三月再征順每州逆儼生擒哀牢将道𫎇及妻子於羅洞并獲儼子生象撞銅儼計󰠃出降	Tam nguyệt tái chinh Thuận Mỗi châu nghịch Nghiễm, sinh cầm Ai Lao tướng Đạo Mông cập thê tử ư La Động tịnh hoạch Nghiễm tử Sinh Tượng Chàng Đồng Nghiễm kế cùng xuất hàng.
帝乃𤤻師献捷於太廟	Đế nãi ban sư hiến tiệp ư Thái miếu.
降楊氏賁為庶婦	Giáng Dương Thị Bí vi thứ phụ.
初楊氏賁生子宜民	Sơ Dương Thị Bí sinh Tử Nghi Dân.
帝立為太子	Đế lập vi Thái Tử.
陽氏賁自恃益賜驕矜	Dương Thị Bí tự thị ích tứ kiêu căng.
帝含蓄忍容降為昭󰀩欲其改過	Đế hàm súc nhẫn dung, giáng vi Chiêu Nghi, dục kì cải quá.
而楊氏賁愈𢙇快快無所	Nhi Dương Thị Bí dũ hoài khoái khoái, vô sở..
忌憚	kị đạn.
帝以楊氏賁用心如此所生之子未必賢降為庶婦詔天下使明知太子之位未定	Đế dĩ Dương Thị Bí dụng tâm như thử, sở sinh chi tử vị tất hiền, giáng vi thứ phụ, chiếu thiên hạ sử minh tri Thái tử chi vị vị định.
夏六月九日甲戌皇子󰘊基生	Hạ lục nguyệt, cửu nhật, Giáp Tuất, Hoàng tử Bang Cơ sinh.
旨揮󰱇秀女於各縣	Chỉ huy tuyển tú nữ ư các huyện.
置御前侍衛隨次出身	Trí ngự tiền thị vệ tuỳ thứ xuất thân.
秋八月隽秀女於殿庭	Thu bát nguyệt tuyển tú nữ ư điện đình.
囚逆女從阮氏路之計也	Tù nghịch nữ tòng Nguyễn Thị Lộ chi kế dã.
氏路即阮廌之妻也冬十月遣使如明内密院副使阮日僉知内密院副使阮有光僉知密刑院陶孟珙歲貢	[Thị Lộ tức Nguyễn Trãi chi thê dã] Đông thập nguyệt, khiển sứ như Minh: Nội mật viện phó sứ Nguyễn Nhật Thiêm, Tri nội mật viện phó sứ Nguyễn Hữu Quang, Thiêm tri mật hình viện Đào Mạnh Cung, tuế cống.
黎齊古慎字求冠服	Lê Thận [cổ thận tự ] cầu quan phục.
十一月十六日立皇子󰘊基為皇太子	Thập nhất nguyệt, thập lục nhật, lập Hoàng tử Bang Cơ vi Hoàng thái tử.
詔曰建儲所以固本立嫡所以正名	Chiếu viết: "Kiến trữ sở dĩ cố bản, lập đích sở dĩ chính danh.
此社稷遠圖國家大計也	Thử xã tắc viễn đồ, quốc gia đại kế dã.
皇子󰘊基玉裕金相英姿秀𤼵既有宜君宜王之望當正以嫡以貴之名	Hoàng tử Bang Cơ ngọc dụ kim tương, anh tư tú phát, ký hữu nghi quân nghi vương chi vọng, đáng chính dĩ đích dĩ quý chi danh.
其令入内大都督黎列賫勑立為皇太子	Kì lệnh Nhập nội đại đô đốc Lê Liệt tê sắc lập vi Hoàng thái tử".
皇太子宜民可封諒山王皇子克昌可封新平王	Hoàng thái tử Nghi Dân khả phong Lạng Sơn vương, Hoàng tử Khắc Xương khả phong Tân Bình vương.
賜太妃范氏堯死	Tứ Thái phi Phạm thị Nghiêu tử.
范氏堯初為明内官馬騏所󰱐	Phạm Thị Nghiêu sơ vi Minh Nội quan Mã KÌ sở hoạch.
及還不能守節誑誘惡黨欲圖廢立	Cập hoàn, bất năng thủ tiết, cuống dụ ác đảng, dục đồ phế lập.
帝以年老使入籃京侍永陵	Đế dĩ niên lão, sử nhập Lam Kinh thị Vĩnh Lăng.
范氏堯以此益深怨望罪極已著因從	Phạm Thị Nghiêu dĩ thử ích thâm oán, vọng tội cực, dĩ trứ nhân tòng..
眾𬢱賜死	chúng nghị tứ tử.
壬戌三年明正七年	Nhâm Tuất tam niên [Minh Chính thất niên ].
統春正月造殿宇	Thống Xuân chính nguyệt tạo điện vũ.
三月會試天下士人	Tam nguyệt hội thí Thiên hạ sĩ nhân.
賜阮直阮如堵梁如鵠三人進士及第陳文徽等七人進士出身吳士連等二十三人同進士出身	Tứ Nguyễn Trực, Nguyễn Như Đổ, Lương Như Hộc tam nhân tiến sĩ cập đệ; Trần Văn Huy đẳng thất nhân tiến sĩ xuất thân; Ngô Sĩ Liên đẳng nhị thập tam nhân đồng tiến sĩ xuất thân.
仍命製文題名竪碑	Nhưng mệnh chế văn, đề danh thụ bi.
進士碑記自此始	Tiến sĩ bi ký tự thử thuỷ.
秋七月二十日皇子思誠生	Thu thất nguyệt nhị thập nhật Hoàng tử Tư Thành sinh.
二十七日帝東巡閲武於至靈城	Nhị thập thất nhật, đế Đông tuần duyệt võ ư Chí Linh thành.
阮廌邀駕幸廌鄕崑山寺	Nguyễn Trãi yêu giá hạnh Trãi hương Côn Sơn tự.
帝𭛁東津入天德江經桂陽縣大蒜社󱖮橋白師墓御舟不能前	Đế phát Đông tân nhập Thiên Đức giang, kinh Quế Dương huyện Đại Toán xã Bông kiều Bạch Sư mộ, ngự chu bất năng tiền.
諸軍尽力引䌫亦不摇	Chư quân tận lực dẫn lãm diệc bất dao,..
動如有所止	động như hữu sở chỉ.
帝乃遣中使遍問本處大是處有何神靈	Đế nãi khiển trung sứ biến vấn bản xứ đại thị xứ hữu hà thần linh?.
老大曰古有名白師者生精於法術	Lão đại viết: "Cổ hữu danh Bạch Sư giả, sinh tinh ư pháp thuật.
没後墓于江邊每有靈顯本土人之中使曰祭以何物	Một hậu, mộ vu giang biên, mỗi hữu linh hiển, bản thổ nhân chi Trung sứ viết: "Tế dĩ hà vật".
老人曰用犢	Lão nhân viết: "Dụng độc".
中使以其奏帝令以犢祭之御舟乃進	Trung sứ dĩ kì tấu Đế lệnh dĩ độc tế chi ngự chu nãi tiến.
八月四日帝至嘉定縣茘枝園遽得虎疾崩	Bát nguyệt, tứ nhật, đế chí Gia Định huyện Lệ chi viên cự đắc hổ tật băng.
初帝爱丞旨廌妻阮氏路容貌文章之美召入拜為禮儀士日夜侍側	Sơ đế ái thừa chỉ Trãi thê Nguyễn Thị Lộ, dung mạo văn chương chi mĩ, triệu nhập bái vi Lễ nghi sĩ nhật dạ thị trắc.
及東巡駕回天德江大來茘枝𭁈阮氏路通宵而崩	Cập Đông tuần giá hồi Thiên Đức giang, Đại Lai lệ chi dữ Nguyễn Thị Lộ thông tiêu nhi băng.
百官漸行	Bách quan tiềm hành.
六日至京師半入宫	Lục nhật chí Kinh sư, bán nhập cung..
始𤼵䘮	thuỷ phát tang.
人皆言阮氏路弑帝	Nhân giai ngôn Nguyễn Thị Lộ thí đế.
十二日大臣鄭可阮熾黎受等受遺命𭁈黎列黎盃等奉皇太子󰘊基即位	Thập nhị nhật Đại thần Trịnh Khả Nguyễn Xí, Lê Thụ đẳng thụ di mệnh dữ Lê Liệt, Lê Bôi đẳng phụng Hoàng thái tử Bang Cơ tức vị.
年方二歲以明年為大和元年	Niên phương nhị tuế dĩ minh niên vi Đại Hoà nguyên niên.
十六日殺行遣阮廌并妻阮氏路罪及三族	Thập lục nhật sát Hành khiển Nguyễn Trãi tịnh thê Nguyễn Thị Lộ tội cập tam tộc.
先是阮氏路出入宫禁太宗見而悅之因𭁈狎昵	Tiên thị Nguyễn Thị Lộ xuất nhập cung cấm, Thái Tông kiến nhi duyệt chi, nhân dữ hiệp nật.
至是東巡幸廌家因得虎疾崩故有是罪	Chí thị, Đông tuần hạnh Trãi gia, nhân đắc hổ tật băng, cố hữu thị tội.
論曰女色之為人害也甚矣	Luận viết: "Nữ sắc chi vị nhân hại dã thậm hĩ.
阮氏路一婦人耳太宗嬖之而身崩阮廌娶之而族滅可不戒哉	Nguyễn Thị Lộ nhất phụ nhân nhĩ, Thái Tông bế chi nhi thân băng, Nguyễn Trãi thú chi nhi tộc diệt, khả bất giới tai?.
九月九日殺宦者丁福丁勝等以阮廌臨刑之	Cửu nguyệt, cửu nhật, sát hoạn giả Đinh Phúc, Đinh Thắng đẳng, dĩ Nguyễn Trãi lâm hình chi..
曰悔不用勝福之言故也	viết hối bất dụng Thắng Phúc chi ngôn cố dã.
東十月遣使如明海西道同知阮叔惠審刑院僉知杜時曄謝賜冠服	Đông thập nguyệt, khiển sứ như Minh: Hải Tây đạo đồng tri Nguyễn Thúc Huệ, Thẩm hình viện thiêm tri Đỗ Thì Việp tạ tứ quan phục.
侍御史趙泰奏欽州地方事	Thị ngự sử Triệu Thái tấu Khâm châu địa phương sự.
參知阮廷歷范瑜等告哀	Tham tri Nguyễn Đình Lịch, Phạm Du đẳng cáo ai.
參知黎傳都事阮文傑御前學生局長阮有孚求封	Tham tri Lê Truyền, Đô sự Nguyễn Văn Kiệt, Ngự tiền học sinh cục trưởng Nguyễn Hữu Phu cầu phong.
命翰林院侍讀學士兼知御前學生局近侍祗候阮天錫撰祐陵碑文	Mệnh Hàn lâm viện thị độc học sĩ kiêm tri ngự tiền học sinh cục cận thị chi hầu Nguyễn Thiên Tích soạn Hựu Lăng bi văn.
十六日塟大行皇帝于籃山永陵之左曰祐陵	Thập lục nhật, táng Đại Hành Hoàng Đế vu Lam Sơn Vĩnh Lăng chi tả viết Hựu Lăng.
上尊號曰繼天體道顯德聖功欽明文思英睿仁哲昭顯建中文皇帝廟號	Thượng tôn hiệu viết Kế Thiên Thể Đạo hiển Đức Thánh Công Khâm Minh Văn Tư Anh Duệ Nhân Triết Chiêu Hiển Kiến Trung Văn Hoàng Đế, miếu hiệu..
太宗	Thái Tông.
論曰帝雄才大畧剛斷有為	Luận viết: Đế hùng tài đại lược, cương đoán hữu vi.
即位之初厲精求治定制度頒經籍制禮作樂明政慎刑此及數年典章文物粲然大僃海内丕变	Tức vị chi sơ, lệ tinh cầu trị, định chế độ, ban kinh tịch, chế lễ tác nhạc, minh chính, thận hình, thử cập sổ niên điển chương văn vật sán nhiên, đại bị hải nội phỉ biến.
爪哇暹羅三佛齊占城满剌加等國航海修貢	Trảo Oa, Tiêm La, Tam Phật Tề, Chiêm Thành, Mãn Lạt Gia đẳng quốc hàng hải tu cống.
後有逋臣宗來招集亡叛僞號紀年順每州土酋名儼遠挾哀牢敢行稱亂	Hậu hữu bô thần Tông Lai chiêu tập vong phản, nguỵ hiệu kỷ niên Thuận Mỗi châu thổ tù danh Nghiễm viễn giáp Ai Lao cảm hành xưng loạn.
帝身出六師致天之罸	Đế thân xuất lục sư trí thiên chi phạt.
一旬而宗來授首再駕而名儼就扲真可謂英雄之主也	Nhất tuần nhi Tông Lai thụ thủ, tái giá nhi danh Nghiễm tựu cầm, chân khả vị Anh hùng chi chủ dã.
武瓊賛曰帝即位時年方十一不假垂簾咱政而天下之事皆自以出内制強臣外攘夷狄	Vũ Quỳnh tán viết: Đế tức vị thời niên phương thập nhất, bất giả thuỳ liêm thính chính nhi thiên hạ chi sự giai tự dĩ xuất, nội chế cường thần, ngoại nhương Di Địch.
其聰明勇智髙出隆古英明之主	Kì thông minh dũng trí, cao xuất long cổ anh minh chi chủ.
况又體天地生物之心行帝王不忍之政讞獄訊囚率多寬恕	Huống hựu thể thiên địa sinh vật chi tâm, hành đế vương bất nhẫn chi chính, nghiện ngục tấn tù suất đa khoan thứ.
其好生之德即帝舜之德也	Kì hiếu sinh chi đức tức đế Thuấn chi đức dã.
