大越史記本紀全書卷之一	Đại Việt Sử Ký Bản Kỷ Toàn Thư Quyển Chi Nhất.
特以演州之人不遵厥化逞行昏暴殘忍小民罪惡貫盈於今不容不討	Đặc dĩ Diễn Châu chi nhân, bất tuân quyết hoá, sính hành hôn bạo, tàn nhẫn tiểu dân, tội ác quán doanh, ư kim bất dung bất thảo.
至於兵刅交攻之除或枉傷忠孝或誤害賢良𦤶使皇天震怒以彰其遇錐遭傾隕亦無憾焉	Chí ư binh ban giao công chi trừ, hoặc uổng thương trung hiếu, hoặc ngộ hại hiền lương, trí sử hoàng thiên chấn nộ, dĩ chương kì ngộ, truy tao khuynh vẫn diệc vô hám yên.
其在六軍罪猶可怒惟簡在上帝之心	Kì tại lục quân, tội do khả nộ, duy giản tại Thượng đế chi tâm".
言訖風雷帖	Ngôn hất, phong lôi thiệp.
史臣吳士連曰湯遇旱熯之災以六事自責而雨隨下	Sử thần Ngô Sĩ Liên viết: Thang ngộ hạn hán chi tai, dĩ lục sự tự trách nhi vũ tuỳ hạ.
帝遭風雷之變以攻代自責而風隨止	Đế tao phong lôi chi biến, dĩ công đại tự trách nhi phong tuỳ chỉ.
天人交感之機影響甚速󰰽謂冥冥之中不日監在我而敢欺天乎	Thiên nhân giao cảm chi cơ, ảnh hưởng thậm tốc, thục vị minh minh chi trung bất nhật giám tại ngã nhi cảm khi thiên hồ?.
上厩有白馬凡駕將𭛁必先嘶嗚	Thượng cứu hữu bạch mã, phàm giá tương phát tất tiên tê ô.
命之曰白龍神馬	Mệnh chi viết Bạch Long thần mã.
是歲蠻人過銅柱至金華步及渭龍州貿易	Thị tuế, Man nhân quá đồng trụ, chí Kim Hoa bộ cập Vị Long châu mậu dịch.
帝使人擒獲蠻人及馬萬餘疋	Đế sử nhân cầm hoạch Man nhân cập mã vạn dư sơ.
癸丑四年宋大中祥符六年	Quý Sửu, tứ niên [Tống Đại Trung Tường Phù lục niên].
春二月定天下諸税𬏩一潭池田土二桑州錢榖三山原藩鎮產勿四關監譏察󰚴盐五蠻獠犀象香料六原頭木條花果等𩔗	Xuân, nhị nguyệt, định thiên hạ chư thuế liệt: nhất, đàm trì điền thổ; nhị, tang châu tiền cốc; tam, sơn nguyên phiên trấn sản vật; tứ, quan giám cơ sát hàm diêm; ngũ, man lạo tê tượng hương liệu; lục, nguyên đầu mộc điều hoa quả đẳng loại.
夏六月封皇子菩為開國王居長安府	Hạ, lục nguyệt, phong hoàng tử Bồ vi Khai Quốc vương, cư Trường An phủ.
秋七	Thu, thất..
月帝御含光殿觀兢舟	nguyệt, đế ngự Hàm Quang điện quan cạnh chu.
冬十月渭龍州叛附于蠻	Đông, thập nguyệt, Vị Long châu phản, phụ vu Man.
帝親征之	Đế thân chinh chi.
首領何晏俊惧引其徒竄山林	Thủ lĩnh Hà Án Tuấn cụ, dẫn kì đồ thoán sơn lâm.
賜王侯公主所𬋩諸税有差	Tứ vương hầu công chúa sở quản chư thuế hữu sai.
甲寅五年宋大中祥符七年	Giáp Dần, ngũ niên [Tống Đại Trung Tường Phù thất niên].
春正月蠻將楊長惠段敬至率蠻人二十萬入寇屯金華步布置軍營名五花寨	Xuân, chính nguyệt, Man tướng Dương Trường Huệ, Đoàn Kính Chí suất Man nhân nhị thập vạn nhập khấu, đồn Kim Hoa bộ, bố trí quân doanh danh Ngũ Hoa trại.
平林州牧黃恩榮以狀聞	Bình Lâm châu mục Hoàng Ân Vinh dĩ trạng văn.
帝命翊聖王帥師討之斬首萬計俘獲士卒馬疋不可勝數	Đế mệnh Dực Thánh vương soái sư thảo chi, trảm thủ vạn kế, phu hoạch sĩ tốt mã sơ bất khả thắng số.
詔員外郎馮真李碩齊所獲蠻馬百疋遣于宋	Chiếu Viên ngoại lang Phùng Chân, Lí Thạc tề sở hoạch Man mã bách sơ khiển vu Tống.
宋帝詔所在差使臣接伴赴闕鄅傳供屯務今豐僃	Tống đế chiếu sở tại sai sứ thần tiếp bạn phó khuyết, vũ truyền cúng đồn vụ kim phong bị.
及至召見	Cập chí, triệu kiến..
真等扵崇德殿賜冠󰅾器幣有差	Chân đẳng ư Sùng Đức điện, tứ quan, đái, khí, tệ, hữu sai.
夏四月驩州獻麒麟	Hạ, tứ nguyệt, Hoan Châu hiến kì lân.
五月右街僧綂沈文苑奏請立戒塲於萬歲寺賜僧徒受戒	Ngũ nguyệt, Hữu nhai tăng thống Thẩm Văn Uyển tấu thỉnh lập giới trường ư Vạn Tuế tự, tứ tăng đồ thụ giới.
可其奏	Khả kì tấu.
秋九月詔𭛁府金三百十两鑄鍾置于興天寺	Thu, cửu nguyệt, chiếu phát phủ kim tam bách thập lượng chú chung, trí vu Hưng Thiên tự.
真臘國來貢	Chân Lạp quốc lai cống.
冬十月詔𭛁府銀八百两鑄鍾二口置于勝嚴寺及五鳳星樓	Đông, thập nguyệt, chiếu phát phủ ngân bát bách lượng chú chung nhị khẩu, trí vu Thắng Nghiêm tự cập Ngũ Phụng tinh lâu.
築昇龍京四圍土城	Trúc Thăng Long kinh tứ vi thổ thành.
改應天府為南京乙卯六年宋大中祥符八年	Cải Ứng Thiên phủ vi Nam Kinh Ất Mão, lục niên, [Tống Đại Trung Tường Phù bát niên].
春正月以鄭文秀為少師	Xuân, chính nguyệt, dĩ Trịnh Văn Tú vi Thiếu sư.
陶甘沐卒贈太師亚王	Đào Cam Mộc tốt, tặng Thái sư á vương.
二月太平縣齊聖寺僧献舍利寶函	Nhị nguyệt, Thái Bình huyện Tề Thánh tự tăng hiến Xá lợi bảo hàm.
詔翊聖王武德王討都金渭龍常	Chiếu Dực Thánh Vương, Vũ Đức Vương thảo Đô Kim, Vị Long, Thường..
新平原等州扲首領何晏俊󰆕京師梟于東市	Tân, Bình Nguyên đẳng châu, cầm thủ lĩnh Hà Án Tuấn quy kinh sư, kiêu vu Đông thị.
丙辰七年宋大中祥符九年	Bính Thìn, thất niên, [Tống Đại Trung Tường Phù cửu niên].
春三月再立皇后三佐國皇后立元簧后立教皇后	Xuân, tam nguyệt, tái lập hoàng hậu tam: Tá Quốc hoàng hậu Lập Nguyên hoàng hậu, Lập Giáo hoàng hậu.
度京師千餘人為僧道	Độ kinh sư thiên dư nhân vi tăng đạo.
起天光天德二寺及塑四天帝像	Khởi Thiên Quang, Thiên Đức nhị tự cập tố tứ thiên đế tượng.
地震	Địa chấn.
望󰥭諸名山	Vọng bái chư danh sơn.
帝因省覽山川方至古所步頭望江山秀氣心動神感作酒嚴之曰朕觀此方山奇水秀苟有人傑地灵受吾明享	[Đế nhân tỉnh lãm sơn xuyên, phương chí Cổ Sở bộ đầu, vọng giang sơn tú khí, tâm động thần cảm, tác tửu nghiêm chi viết: "Trẫm quan thử phương, sơn kì thuỷ tú, câu hữu nhân kiệt địa linh thụ ngô minh hưởng".
是夜夢異人󰏲首再󰥭曰臣本鄕人姓李名服蠻佐南帝為將以忠烈知名授杜洞唐林二條江山夷獠不敢𨊠邊一方按坦	Thị dạ, mộng dị nhân khể thủ tái bái viết: "Thần bản hương nhân, tính Lí danh Phục Man, tá Nam Đế vi tướng, dĩ trung liệt tri danh, thụ Đỗ Động, Đường Lâm nhị điều giang sơn, Di Lạo bất cảm phạm biên, nhất phương án thản.
及卒上帝嘉其志直勑守職如故是故凡夷盧入寇皆捍禦焉	Cập tốt, thượng đế gia kì chí trực lai thủ chức như cố. Thị cố, phàm Di Lô nhập khấu giai cản ngự yên.
幸遇陛下矜憐臣守職久矣既而從容曰天下遭󰌩昧忠臣匿名中天明日月亮不見其形	Hạnh ngộ bệ hạ căng lân thần thủ chức cửu hĩ. Ký nhi thung dung viết: "Thiên hạ tao mông muội, trung thần nặc danh,
人立祠設像一如夢時所見歲時祀焉陳元豊間韃靼入寇至境馬蹶不進村人率眾拒戰斬虜首賊奔散	nhân lập từ thiết tượng nhất như mộng thời sở kiến, tuế thời tự yên. Trần Nguyên Phong gian, Thát Đát nhập khấu, chí cảnh mã quệ bất tiến, thôn nhân suất chúng cự chiến, trảm lỗ thủ tặc bôn tán.
重興後入寇到處皆焚簜而其邑如有防護秋毫無犯如其所言	Trùng Hưng hậu nhập khấu, đáo xứ giai phàn đãng nhi kì ấp như hữu phòng hộ, thu hào vô phạm, như kì sở ngôn].
宋封帝為南平王	Tống phong Đế vi Nam Bình Vương.
是歲大熟禾三十結直七十錢	Thị tuế, đại thục hoà, tam thập kết trực thất thập tiền.
賜天下三年税租	Tứ thiên hạ tam niên thuế tô.
丁巳八年宋天禧元年	Đinh Tị, bát niên, [Tống Thiên Hi nguyên niên].
春三月以陳文秀為太傅	Xuân, tam nguyệt, dĩ Trần Văn Tú vi Thái Phó.
詔賜天下田租	Chiếu tứ thiên hạ điền tô.
乾元殿震視朝於東殿	Càn Nguyên điện chấn, thị triều ư đông điện.
戊戌九年宋天禧二年	Mậu Tuất, cửu niên, [Tống Thiên Hi nhị niên].
春二月追封先祖妣為后及謚	Xuân, nhị nguyệt, truy phong tiên tổ tỉ vi Hậu cập thuỵ.
史臣吳士連曰帝至是始追封先祖妣失之晚矣	Sử thần Ngô Sĩ Liên viết: Đế chí thị thuỷ truy phong tiên tổ tỉ, thất chi vãn hĩ.
夏六月遣員外郎阮道清笵鶴如宋乞三藏經	Hạ, lục nguyệt, khiển viên ngoại lang Nguyễn Đạo Thanh, Phạm Hạc như Tống khất Tam Tạng kinh.
冬十月封皇子力為東征王	Đông, thập nguyệt, phong hoàng tử Lực vi Đông Chinh Vương.
賜天下田租之半	Tứ thiên hạ điền tô chi bán.
己未十年宋天禧三年	Kỉ Mùi, thập niên [Tống Thiên Hi tam niên].
春正月立天德陵太廟	Xuân, chính nguyệt, lập Thiên Đức lăng Thái Miếu.
詔度天下人民為僧	Chiếu độ thiên hạ nhân dân vi tăng.
庚申十一年宋天禧四年	Canh Thân, thập nhất niên, [Tống Thiên Hi tứ niên].
夏四月真臘國來貢	Hạ, tứ nguyệt, Chân Lạp quốc lai cống.
秋九月阮道清使回得三藏經詔僧綂費智往廣州迎之	Thu, cửu nguyệt, Nguyễn Đạo Thanh sứ hồi, đắc Tam Tạng kinh, chiếu Tăng thống Phí Trí vãng Quảng Châu nghênh chi.
冬十二月命開天王及陶碩輔帥師擊占城人于布政賽直抵龍鼻山斬其將布令于陣占人	Đông, thập nhị nguyệt, mệnh Khai Thiên Vương cập Đào Thạc Phụ soái sư kích Chiêm Thành nhân vu Bố Chính trại, trực để Long Tị sơn, trảm kì tướng Bố Linh vu trận, Chiêm nhân..
死者過半	tử giả quá bán.
是歲東殿震視朝于西殿	Thị tuế, Đông điện chấn, thị triều vu Tây điện.
起造三殿前殿視朝後二殿聽政	Khởi tạo tam điện: tiền điện thị triều, hậu nhị điện thính chính.
辛酉十二年宋天禧五年	Tân Dậu, thập nhị niên, [Tống Thiên Hi ngũ niên].
春二月以誕日為天成節以竹結為萬壽南山一峯於廣福門外峯上多作飛禽走獸奇恠萬狀又使人效禽獸之聲為樂以宴群臣	Xuân, nhị nguyệt, dĩ đản nhật vi Thiên Thành tiết, dĩ trúc kết vi Vạn Thọ Nam Sơn nhất phong ư Quảng Phúc môn ngoại, phong thượng đa tác phi cầm tẩu thú, kì quái vạn trạng, hựu sử nhân hiệu cầm thú chi thanh vi lạc dĩ yến quần thần.
遣員外郎阮寬泰阮守疆等如宋	Khiển Viên ngoại lang Nguyễn Khoan Thái, Nguyễn Thủ Cương đẳng như Tống.
起八角經藏	Khởi Bát Giác kinh tàng.
壬戌十三年宋乾興元年	Nhâm Tuất, thập tam niên, [Tống Càn Hưng nguyên niên].
春二月帝以天成節作山勞民罷之但設燕禮而以	Xuân, nhị nguyệt, Đế dĩ Thiên Thành tiết tác sơn lao dân, bãi chi, đản thiết yến lễ nhi dĩ.
詔翊聖王伐大元歴	Chiếu Dực Thánh Vương phạt Đại Nguyên Lịch.
王	Vương..
師深入宋境如洪寨焚其倉而還	sư thâm nhập Tống cảnh, Như Hồng trại, phần kì thương nhi hoàn.
按宋如洪來我潮陽	[Án Tống Như Hồng lai ngã Triều Dương.
大元歴盖一種夷介在其間也後儂智髙叛據儻猶州曰大歴國疑即此地	Đại Nguyên Lịch cái nhất chủng di giới tại kì gian dã. Hậu Nùng Trí Cao phản, cứ Thảng Do châu, viết Đại Lịch quốc, nghi tức thử địa.].
癸亥十四年宋仁宗偵秋天聖元年	Quý Hợi, thập tứ niên, [Tống Nhân Tông, Trinh Thu Thiên Thánh nguyên niên].
九月詔寫三藏經留于大興藏改潮陽鎮為永安州	cửu nguyệt, chiếu tả Tam Tạng kinh lưu vu Đại Hưng tàng, cải Triều Dương trấn vi Vĩnh An châu.
甲子十五年宋天聖二年	Giáp Tí, thập ngũ niên, [Tống Thiên Thánh nhị niên].
春詔開天王伐峯州開國王伐都金州	Xuân, chiếu Khai Thiên Vương phạt Phong Châu, Khai Quốc Vương phạt Đô Kim châu.
修治昇龍京城	Tu trị Thăng Long kinh thành.
秋九月造真教禪寺於城内以便幸觀誦經	Thu, cửu nguyệt, tạo Chân Giáo thiền tự ư thành nội, dĩ tiện hạnh quan tụng kinh.
乙丑十六年宋天聖三年	Ất Sửu, thập lục niên, [Tống Thiên Thánh tam niên].
春二月真臘國來貢	Xuân, nhị nguyệt, Chân Lạp quốc lai cống.
詔立定藩寨于驩州南界以𬋩甲李台偕為寨主	Chiếu lập Định Phiên trại vu Hoan Châu nam giới, dĩ quản giáp Lí Thai Giai vi trại chủ.
秋	Thu,..
八月定兵為甲每甲十五人用一人為𬋩甲	bát nguyệt, định binh vi giáp, mỗi giáp thập ngũ nhân, dụng nhất nhân vi quản giáp.
又定諸邑各𬋩甲	Hựu định chư ấp các quản giáp.
又改火頭為正首惟唱兒乃號𬋩甲時有唱女陶氏長於本藝常得賞賜	Hựu cải hoả đầu vi chính thủ, duy xướng nhi nãi hiệu quản giáp [Thời hữu xướng nữ Đào thị, trường ư bản nghệ, thường đắc thưởng tứ.
時人慕其名凡唱女並呼為陶娘	Thời nhân mộ kì danh, phàm xướng nữ tịnh hô vi Đào nương].
僧萬行死萬行無疾而死時人謂之化身	Tăng Vạn Hạnh tử [Vạn Hạnh vô tật nhi tử, thời nhân vị chi hoá thân.].
史臣吳士連曰僧萬行初見李祖知非常人及見震文揣知時變則其智識起乎凡人矣	Sử thần Ngô Sĩ Liên viết: Tăng Vạn Hạnh sơ kiến Lí Tổ, tri phi thường nhân, cập kiến chấn văn suý tri thời biến, tắc kì trí thức khởi hồ phàm nhân hĩ.
然而决性命廢人倫厭塵嚚依禪寝以獨絜君子不與也	Nhiên nhi quyết tính mệnh, phế nhân luân, yếm trần ngân, y thiền tẩm dĩ độc kiết, quân tử bất dữ dã.
丙寅十七年宋天聖四年	Bính Dần, thập thất niên, [Tống Thiên Thánh tứ niên].
春正月詔修玉牒	Xuân, chính nguyệt, chiếu tu Ngọc điệp.
秋八月	Thu, bát nguyệt,..
遣李徵顯黎再嚴如宋結好	khiển Lí Trưng Hiển, Lê Tái Nghiêm như Tống kết hảo.
冬十一月真臘國來貢	Đông, thập nhất nguyệt, Chân Lạp quốc lai cống.
詔開天王討演州賊	Chiếu Khai Thiên vương thảo Diễn Châu tặc.
丁卯十八年宋天聖五年	Đinh Mão, thập bát niên, [Tống Thiên Thánh ngũ niên].
夏六月旱	Hạ, lục nguyệt, hạn.
秋八月詔寫三藏經	Thu, bát nguyệt, chiếu tả Tam Tạng kinh.
詔開天王討七源州東征王討文州	Chiếu Khai Thiên Vương thảo Thất Nguyên châu, Đông Chinh Vương thảo Văn Châu.
戊辰十九月三月元年	Mậu Thìn, thập cửu nguyệt, [Tam nguyệt nguyên niên.
以後太宗天成宋天聖六年	dĩ hậu, Thái Tông Thiên Thành, Tống Thiên Thánh lục niên.].
春二月帝弗豫三月丙申朔日食	Xuân nhị nguyệt, đế phất dự Tam nguyệt, Bính Thân sóc, nhật thực.
戊戌帝崩于龍安殿	Mậu Tuất, Đế băng vu Long An điện.
群臣皆詣龍德宫請太子奉遺詔即位	Quần thần giai nghệ Long Đức cung, thỉnh Thái tử phụng di chiếu tức vị.
東征翊聖武德三王聞之皆帥府兵入伏禁城	Đông Chinh, Dực Thánh, Võ Đức tam vương văn chi giai soái phủ binh nhập phục cấm thành.
東征王伏于龍城内翊聖武德二王各自伏于廣福門内侯太子至襲之	Đông Chinh Vương phục vu Long Thành nội, Dực Thánh, Võ Đức nhị vương các tự phục vu Quảng Phúc môn nội, hậu Thái tử chí tập chi.
有頃太子自祥符門入至乾元殿覺變命内竪閉諸殿門及使宫中衛士守備因謂左右曰我於兄弟無所毫負	Hữu khoảnh, Thái tử tự Tường Phù môn nhập, chí Càn Nguyên điện, giác biến, mệnh nội thụ bế chư điện môn, cập sử cung trung vệ sĩ thủ bị, nhân vị tả hữu viết: "Ngã ư huynh đệ vô sở hào phụ.
今三王行不義忘先帝之遺命欲圖大位卿等以為何如	Kim tam vương hành bất nghĩa, vong Tiên đế chi di mệnh, dục đồ đại vị, khanh đẳng dĩ vi hà như?".
内侍李仁義曰兄之與弟内可以協謀外可以禦侮	Nội thị Lí Nhân Nghĩa viết: "Huynh chi dữ đệ, nội khả dĩ hiệp mưu, ngoại khả dĩ ngự vũ.
今三王反以為兄弟乎以為仇讎乎願許臣等一戰以决勝負	Kim tam vương phản, dĩ vi huynh đệ hồ? Dĩ vi cừu thù hồ? Nguyện hứa thần đẳng nhất chiến dĩ quyết thắng phụ".
太子曰吾耻先帝未殯骨肉相殘寧不為萬世笑耶仁義曰臣聞務遠圖者忘近功存公道者割私愛此唐太宗周公旦出不得已之奉	Thái tử viết: "Ngô xỉ tiên đế vị tẫn, cốt nhục tương tàn, ninh bất vi vạn thế tiếu da?" Nhân Nghĩa viết: "Thần văn, vụ viễn đồ giả vong cận công, tồn công đạo giả cát tư ái, thử Đường Thái Tông, Chu Công Đán xuất bất đắc dĩ chi phụng.
今殿下以唐太周公為務	Kim điện hạ dĩ Đường Thái, Chu Công vi vụ..
遠圖存公道耶抑為貪近功溺私愛耶殿下能偕唐太周公之遺迹則後世之人將頌𰙔功德之不暇何暇笑哉又曰先帝以殿下善足以󰱥志才足以濟事故以天下付託殿下	viễn đồ, tồn công đạo da? Ức vi tham cận công, nịch tư ái da? Điện hạ năng giai Đường Thái, Chu Công chi di tích, tắc hậu thế chi nhân tương tụng ca công đức chi bất hạ, hà hạ tiếu tai?" Hựu viết: "Tiên đế dĩ Điện hạ, thiện túc dĩ kế chí, tài túc dĩ tế sự, cố dĩ thiên hạ phó thác điện hạ.
今賊逼宫門而隱忍如此其如先帝付託何	Kim tặc bức cung môn nhi ẩn nhẫn như thử, kì như tiên đế phó thác hà?".
太子默然良久謂仁義及宫臣楊平郭盛李玄師黎奉曉等曰吾𡸈不知唐太周公之所為若是乎吾欲掩晦其罪惡使自退伏以全吾骨肉為上耳	Thái tử mặc nhiên lương cửu, vị Nhân Nghĩa cập cung thần Dương Bình, Quách Thịnh, Lí Huyền Sư, Lê Phụng Hiểu đẳng viết: "Ngô há bất tri Đường Thái, Chu Công chi sở vi? Nhược thị hồ ngô dục yểm hối kì tội ác, sử tự thoái phục, dĩ toàn ngô cốt nhục vi thượng nhĩ".
時三府兵愈急太子度不能制曰勢既如此我何靣目與三王見乎吾但成	Thời tam phủ binh dũ cấp, Thái tử độ bất năng chế viết: "Thế ký như thử, ngã hà diện mục dữ tam vương kiến hồ? Ngô đản thành..
服奉侍先帝此外皆委卿也	phục phụng thị Tiên đế, thử ngoại giai uỷ khanh dã".
仁義等皆再拜曰死君之難臣等之職分	Nhân Nghĩa đẳng giai tái bái viết: "Tử quân chi nạn, thần đẳng chi chức phận.
今既得死所將復何辞	Kim ký đắc tử sở, tương phục hà từ?".
乃令宫中衛士開門出戰人樂赴難無不一當百	Nãi lệnh cung trung vệ sĩ khai môn xuất chiến, nhân lạc phó nạn, vô bất nhất đương bách.
兵既接戰未决勝負奉曉怒援劍直至廣福門大呼謂武德王等覬覦神噐蔑視嗣君上志先帝之恩下皆臣子之義所以臣奉曉捧斯劎為獻	Binh ký tiếp chiến, vị quyết thắng phụ, Phụng Hiểu nộ viện kiếm trực chí Quảng Phúc môn đại hô vị: "Võ Đức vương đẳng ký du thần khí, miệt thị tự quân, thượng chí tiên đế chi ân, hạ giai thần tử chi nghĩa, sở dĩ thần Phụng Hiểu bổng tư kiếm vi hiến".
乃直犯武德王馬	Nãi trực phạm Võ Đức Vương mã.
王引馬避之馬蹶為奉曉所獲殺之	Vương dẫn mã tị chi, mã quệ, vi Phụng Hiểu sở hoạch sát chi.
三府兵敗走	Tam phủ binh bại tẩu.
官軍追斬之殆無遺者惟東征翊聖二王僅以身免	Quan quân truy trảm chi đãi vô di giả, duy Đông Chinh, Dực Thánh nhị vương cẩn dĩ thân miễn.
奉曉等還以服武奏㨗于太祖柩前又	Phụng Hiểu đẳng hoàn dĩ phục võ tấu tiệp vu Thái Tổ cữu tiền, hựu..
詣乾元殿吿太子	nghệ Càn Nguyên điện cáo Thái tử.
太子勞之曰吾所以克荷先帝之丕基全父母之遺体卿等之力也	Thái tử lạo chi viết: "Ngô sở dĩ khắc hà tiên đế chi phi cơ, toàn phụ mẫu chi di thể, khanh đẳng chi lực dã.
吾嘗觀唐史見蔚遲敬德匡君之難自謂後世人臣無可比者	Ngô thường quan Đường sử, kiến Uất Trì, Kính Đức khuông quân chi nạn, tự vị hậu thế nhân thần vô khả tỉ giả.
今日遭變乃知奉曉之忠勇過敬德遠矣	Kim nhật tao biến, nãi tri Phụng Hiểu chi trung dũng quá Kính Đức viễn hĩ".
奉曉再拜曰殿下德感天地敢有萌異圖者天下神抵皆效其職而誅滅之臣等何力之有奉曉愛州冰山鄕人少䧺勇	Phụng Hiểu tái bái viết: "Điện hạ đức cảm thiên địa, cảm hữu manh dị đồ giả, thiên hạ thần để giai hiệu kì chức nhi tru diệt chi, thần đẳng hà lực chi hữu!" [Phụng Hiểu Ái Châu, Băng Sơn hương nhân, thiếu hùng dũng.
古碑潭舍二村爭地界以兵相向奉曉謂古碑人曰我獨䏻擊眾父老喜貝酒饌食之奉曉一飯數斗飲且過量既而挑潭舍戰	Cổ Bi, Đàm Xá nhị thôn tranh địa giới, dĩ binh tương hướng. Phụng Hiểu vị Cổ Bi nhân viết: "Ngã độc năng kích chúng". Phụ lão hỉ, bối tửu soạn thực chi, Phụng Hiểu nhất phạn sổ đấu, ẩm thả quá lượng, ký nhi khiêu Đàm Xá chiến.
聳身扳樹横擊傷損者眾潭舍大惧還古碑田太祖聞其名因以為將迁武衛將軍	Tủng thân ban thụ hoành kích, thương tổn giả chúng, Đàm Xá đại cụ, hoàn Cổ Bi điền. Thái Tổ văn kì danh, nhân dĩ vi tướng, thiên Võ Vệ tướng quân.
至是以靖難功拜都綂上將軍侯秩	Chí thị dĩ tịnh nạn công, bái Đô thống thượng tướng quân, hầu trật.
天感聖武中從太宗南征為前鋒大破虜兵名震藩	Thiên Cảm Thánh Vũ trung, tòng Thái Tô
國	quốc.
凱還定功奉曉曰不欲爵賞願得立氷山遠擲大刀驗刀墮官地内賜以作業從之奉曉登山一擲遠十餘里刀墮多縻鄕	Khải hoàn định công, Phụng Hiểu viết: "Bất dục tước thưởng, nguyện đắc lập Băng Sơn viễn trịch đại đao, nghiệm đao đoạ quan địa nội tứ dĩ tác nghiệp. Tòng chi. Phụng Hiểu đăng sơn, nhất trịch viễn thập dư lí, đao đoạ Đa Mi hương.
即以賜之蠲所刀榖税	Tức dĩ tứ chi, quyên sở đao cốc thuế.
故愛州賞功有所刀之名	Cố Ái Châu thưởng công hữu sở đao chi danh].
黎文休曰李家封嫡子皆為王庶子皆為皇子而皇太子之位不設	Lê Văn Hưu viết: Lí gia phong đích tử giai vi Vương, thứ tử giai vi hoàng tử, nhi hoàng thái tử chi vị bất thiết.
及至宫軍大漸方攑諸子一人入繼大綂	Cập chí cung quân đại tiềm, phương cử chư tử nhất nhân nhập kế đại thống.
傳之成俗不知何意也	Truyền chi thành tục, bất tri hà ý dã.
或曰李家不先正儲位盖欲使諸子亹亹為善謂	Hoặc viết: "Lí gia bất tiên chính trừ vị, cái dục sử chư tử vỉ vỉ vi thiện vị.
儲位既定則君臣分定雖有微子之賢將何以處之哉	Trừ vị ký định, tắc quân thần phân định, tuy hữu Vi Tử chi hiền, tương hà dĩ xử chi tai".
曰天下之本既定猶有楊廣飾行奪嫡之禍况儲貮不正事至倉卒方欲榉立萬一有三夫	Viết: Thiên hạ chi bản ký định, do hữu Dương Quảng sức hành đoạt đích chi hoạ, huống trừ nhị bất chính, sự chí thương tốt, phương dục cử lập, vạn nhất hữu tam phu..
人強請之嗣君徐文通弄筆之遺詔雖若不名其可得乎有國家者當以此為戒	nhân cường thỉnh chi tự quân, Từ Văn Thông lộng bút chi di chiếu, tuy nhược bất danh kì khả đắc hồ? Hữu quốc gia giả, đương dĩ thử vi giới.
史臣吳士連曰同心同德必事業之䏻成	Sử thần Ngô Sĩ Liên viết: Đồng tâm đồng đức, tất sự nghiệp chi năng thành.
有君有臣何艱險之不濟	Hữu quân hữu thần, hà gian hiểm chi bất tế.
太宗當創鉅痛深之日变生肘腋而君臣處之曲折得宜險難以濟事業以成宗廟賴以尊安	Thái Tông đương sáng cự thống thâm chi nhật, biến sinh trửu nịch, nhi quân thần xử chi khúc triết, đắc nghi hiểm nạn dĩ tế, sự nghiệp dĩ thành, tông miếu lại dĩ tôn an.
非君臣相遇同德同心䏻如是乎觀史所載太宗真情之感󰱑於骨肉相殘之言仁義忠憤之激在於唐太周公之事	Phi quân thần tương ngộ, đồng đức đồng tâm, năng như thị hồ? Quan sử sở tải, Thái Tông chân tình chi cảm, phát ư "cốt nhục tương tàn" chi ngôn, Nhân Nghĩa trung phẫn chi khích, tại ư Đường Thái, Chu Công chi sự.
奉曉義勇之奮形於躍馬献劎之時	Phụng Hiểu nghĩa dũng chi phấn, hình ư dược mã hiến kiếm chi thời.
及乎事濟君	Cập hồ sự tế, quân..
臣畧無一毫矜誇固無間然矣	thần lược vô nhất hào căng khoa, cố vô gian nhiên hĩ.
至於未踰年而改元則不容不議	Chí ư vị du niên nhi cải nguyên, tắc bất dung bất nghị.
春秋之法君薨嗣君定位於初䘮踰年然後改元	Xuân Thu chi pháp, quân hoăng tự quân định vị ư sơ tang, du niên nhiên hậu cải nguyên.
書即位者綠始終之義一年不二君綠臣民之心不可曠年無君禮也	Thư tức vị giả lục, thuỷ chung chi nghĩa, nhất niên bất nhị quân, lục thần dân chi tâm, bất khả khoảng niên vô quân, lễ dã.
太宗乃冒先君之年以紀年何哉夫甲子流年天之運也	Thái Tông nãi mạo tiên quân chi niên dĩ kỷ niên hà tai? Phu giáp tử lưu niên thiên chi vận dã.
人君法天因甲子之運行紀在位之久近從古已然	Nhân quân pháp thiên, nhân giáp tử chi vận hành, kỷ tại vị chi cửu cận, tòng cổ dĩ nhiên.
帝精於禮樂書數曾不是考而叙擾之遂使後世襲為故事踵而行之其失大矣	Đế tinh ư lễ nhạc thư số, tăng bất thị khảo nhi tự nhiễu chi, toại sử hậu thế tập vi cố sự, chủng nhi hành chi, kì thất đại hĩ.
己亥太子佛瑪即位於柩前	Kỉ Hợi, Thái tử Phật Mã tức vị ư cữu tiền.
尊母黎氏曰靈顯	Tôn mẫu Lê thị viết Linh Hiển..
太后	Thái hậu.
大赦	Đại xá.
改元天成元年	Cải nguyên Thiên Thành nguyên niên.
是日東征翊聖二王詣闕伏罪	Thị nhật, Đông Chinh, Dực Thánh nhị vương nghệ khuyết phục tội.
詔免之復其爵	Chiếu miễn chi, phục kì tước.
